Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Maçã com casca,1 unidade pequena,90,14,58,243,,,
Maçã do amor,1 unidade,110,31,125,523,,,
Maçã do amor,1 unidade,100,79,314,1314,,,
Maçã seca crocante Jasmine®,1 pacote,40,20,82,343,,,
Maçã verde,1 unidade média,130,17,62,259,,,
"Maçã, suco de",1 copo,200,22,97,406,,,
"Maçã, suco de (com açúcar)",1 copo,200,22,90,377,,,
"Maçã, suco de (sem açúcar)",1 copo,200,45058,51,213,,,
Macadamia natural,1 porção (punhado),30,4,225,941,,,
Macadâmica natural,1 colher de sopa,15,3,97,406,,,
Macarrão à bolonhesa,1 escumadeira cheia,110,25,135,565,,,
Macarrão à bolonhesa,1 escumadeira cheia,110,22,136,569,,,
Macarrão ao alho e óleo,1 escumadeira cheia,110,28,195,816,,,
Macarrão ao alho e óleo,1 escumadeira cheia,110,35,241,1008,,,
Macarrão carbonara,1 escumadeira cheia,110,14,294,1230,,,
Macarrão caseiro cozido,1 colher de arroz cheia,50,11,54,226,,,
Macarrão com atum,1 escumadeira cheia,110,21,174,728,,,
"Macarrão com molho branco (leite, manteiga e farinha de trigo)",1 escumadeira cheia,110,27,153,640,,,
Macarrão com molho de tomate,1 escumadeira cheia,110,22,131,548,,,
Macarrão com molho pesto,1 escumadeira cheia,110,21,254,1063,,,
Macarrão cozido sem molho,1 escumadeira cheia,110,30,138,577,,,
Macarrão cremoso com frutos do mar,1 porção,110,80,692,2895,,,
Macarrão de arroz (sem glúten),1 escumadeira cheia,90,21,92,385,,,
Macarrão de arroz e feijão cru Urbano®,1 1/2 xícara,80,52,261,1092,,,
Macarrão de arroz integral Urbano® cru (sem glúten),1 1/2 xícara,80,59,274,1146,,,
Macarrão de arroz Urbano® cru (sem glúten),1 1/2 xícara,80,62,280,1172,,,
Macarrão instantâneo Maggi® lámen queijo,1 pacote,80,50,370,1548,,,
Macarrão instantâneo Nissin Lámen® sabor Carne,1 pacote,80,48,370,1548,,,
Macarrão instantâneo Nissin Lámen® sabor Costela,1 pacote,80,52,384,1607,,,
Macarrão instantâneo Nissin Lámen® sabor Galinha,1 pacote,80,49,374,1565,,,
Macarrão instantâneo Nissin Lámen® sabor Legumes,1 pacote,80,50,376,1573,,,
Macarrão integral alho e óleo,1 escumadeira cheia,110,28,195,816,,,
Macarrão integral com frutos do mar,1 escumadeira cheia,110,21,143,598,,,
Macarrão integral com molho de tomate,1 escumadeira cheia,110,25,124,519,,,
Macarrão mini fusilli piccolini Barilla® cru,1 prato,80,58,282,1180,,,
Macarrão mini fusilli picolini Barrila®,1 prato,80,59,280,1172,,,
Macaúba crua,2 unidades,90,45058,362,1515,,,
Macaúba crua,2 unidades,100,14,404,1690,,,
Macaxeira cozida (aipim ou mandioca),1 pedaço grande,100,30,120,502,,,
Macaxeira cozida (mandioca),1 pedaço grande,100,30,125,523,,,
Macaxeira frita (aipim ou mandioca),1 pedaço grande,100,50,304,1272,,,
Maionese de batata com legumes,1 colher de sopa cheia,38,3,155,649,,,
Maionese de legumes,1 colher de sopa cheia,38,6,51,213,,,
Maionese de legumes,1 colher de sopa cheia,40,6,51,213,,,
Maionese Heinz®,1 colher de sopa,12,0,80,335,,,
Maionese Hellmann's®,1 colher de sopa,12,1,37,155,,,
Maionese industrializada,1 colher de sopa cheia,17,1,52,218,,,
Maionese industrializada light,1 colher de sopa,12,1,49,205,,,
Maionese light Hellmann's®,1 colher de sopa,12,1,21,88,,,
Maionese light Liza®,1 colher de sopa,12,1,21,88,,,
Maionese vegana Hellmann's®,1 colher de sopa,12,0,35,146,,,
Maizena,1 colher de sopa cheia,20,17,70,293,,,
Maizena®,1 colher de sopa cheia,20,17,70,293,,,
Mamão formosa,1 fatia grande,170,20,79,331,,,
Mamão formosa,1 fatia média,100,12,47,197,,,
Mamão papaia,1 fatia média,100,10,43,180,,,
Mamão papaia,1/2 unidade,160,16,68,285,,,
Mamão papaya,1 colher de sopa cheia,40,3,14,59,,,
Mamão papaya,1/2 unidade,160,16,64,268,,,
"Mamão verde, doce de",1 colher de sopa cheia,40,19,78,326,,,
Mandioca cozida (aipim ou macaxeira),1 pedaço grande,100,30,120,502,,,
Mandioca cozida (picada),1 colher de sopa cheia,30,9,37,155,,,
Mandioca frita,1 pedaço grande,100,50,300,1255,,,
Mandioca frita (aipim ou macaxeira),1 pedaço grande,100,50,304,1272,,,
Mandioquinha,1 colher de sopa,25,5,20,84,,,
Mandioquinha ou batata-baroa cozida,1 colher de sopa,30,5,33,138,,,
Mané pelado,1 pedaço médio,70,37,226,946,,,
Manga,1 porção média,100,16,64,268,,,
Manga Espada,1 porção média,100,17,72,301,,,
Manga espada,1 unidade média,140,22,91,381,,,
Manga Haden,1 porção média,100,17,67,280,,,
Manga Palmer,1 porção média,100,19,77,322,,,
Mangaba,1 unidade,25,3,11,46,,,
Maniçoba,1 fatia média,120,4,151,632,,,
Manjar,1 fatia média,90,36,255,1067,,,
Manjar branco,1 fatia média,90,36,255,1067,,,
Manjar branco,1 colher de servir,60,21,117,490,,,
Manjar de coco,1 colher de servir,60,21,117,490,,,
Manjar de coco,1 porção,100,35,196,820,,,
Manteiga,1 colher de chá rasa,4,0,26,109,,,
Manteiga,1 colher de sopa cheia,32,0,235,983,,,
Manteiga,1 colher de sopa rasa,19,0,127,531,,,
Manteiga light,1 colher de chá rasa,4,0,17,71,,,
Maracujá,1 unidade média,45,6,31,130,,,
"Maracujá, polpa de",1 unidade pequena,45,45051,33,138,,,
Margarina,1 colher de chá rasa,4,0,25,105,,,
Margarina,1 colher de sopa cheia,32,0,219,916,,,
Margarina,1 colher de sopa rasa,19,0,121,506,,,
Margarina light,1 colher de sopa,10,0,32,134,,,
Maria mole,1 porção,60,38,180,753,,,
Maria mole,1 porção,44,33,132,552,,,
Marmelada,1 fatia média,40,28,111,464,,,
Marmelada,1 fatia média,60,40,158,661,,,
Marreco assado,1 fatia média,100,0,201,841,,,
Marreco recheado assado,1/4 unidade,100,3,258,1079,,,
Marron glacê,1 fatia média,50,35,141,590,,,
Marron-glacê,1 fatia média,60,35,149,623,,,
Marshmallow Fini®,4 unidades,20,16,67,280,,,
Marshmelow Dr. Oetker®,1 colher de sopa cheia,10,9,40,167,,,
Martini,1 dose,70,"0,4",160,669,,,
Martini,1 dose,50,2,41,172,,,
Massa de panqueca sem recheio,1 unidade pequena,30,9,79,331,,,
Massa fresca semipronta para pizza,1 unidade (inteira),140,80,441,1845,,,
Massa fresca semipronta para pizza brotinho,1 unidade,40,23,126,527,,,
Massa para pizza,1 fatia média,20,11,57,238,,,
Massa para pizza brotinho,1 unidade,40,19,113,473,,,
Massa pronta para pastel,1 pastel,30,13,89,372,,,
Massa pronta para pastel,2 discos de massa,30,16,83,347,,,
Matrinxã,1 pedaço médio,100,0,188,787,,,
Matrinxã inteiro cru,1 pedaço médio,100,0,246,1029,,,
Maxixe cozido com casca,1 colher de sopa cheia,40,45108,8,33,,,
Mc Chicken (Mcdonald's®),1 unidade,0,38,395,1653,,,
Mc Chicken Bacon (Mcdonalds®),1 unidade,0,38,430,1799,,,
Mc Fiesta (Mcdonalds®),1 unidade,0,27,272,1138,,,
Mc Shake Kopenhagen (Mcdonalds®),1 porção,0,103,628,2628,,,
Mc Shake Morango (Mcdonalds®),1 porção,0,90,463,1937,,,
Mc Shake Ovomaltine (Mcdonalds®),1 porção,0,109,584,2443,,,
McChicken (Mc’ Donalds®),1 unidade,177,40,424,1774,,,
McColosso caramelo (Mc’ Donalds®),1 unidade,142,52,291,1218,,,
McColosso caramelo (Mcdonald's®),1 unidade,0,53,275,1151,,,
McColosso chocolate (Mc’ Donalds®),1 unidade,137,47,274,1146,,,
McColosso chocolate (Mcdonald's®),1 unidade,0,50,272,1138,,,
McCrispy Chicken Classic (Mcdonalds®),1 unidade,0,47,582,2435,,,
McCrispy Chicken Deluxe (Mcdonalds®),1 unidade,0,59,497,2079,,,
McCrispy Chicken Spicy (Mcdonalds®),1 unidade,0,48,616,2577,,,
McFish (Mc’ Donalds®),1 unidade,151,37,362,1515,,,
McFlurry M&Ms (Mcdonald's®),1 porção,0,91,529,2213,,,
McFlurry ovomaltine (Mc’ Donalds®),1 unidade,200,68,425,1778,,,
McFlurry Ovomaltine (Mcdonald's®),1 porção,0,75,426,1782,,,
McFlurry Ovomaltine Caramelo (Mcdonald's®),1 porção,0,83,462,1933,,,
McFlurry Ovomaltine Morango (Mcdonald's®),1 porção,0,81,438,1833,,,
McNífico (Mc’ Donalds®),1 unidade,282,37,600,2510,,,
McNífico Bacon (Mcdonald's®),1 unidade,0,36,571,2389,,,
McNuggets 10 (Mc’ Donalds®),1 porção de 10 unidades,166,27,431,1803,,,
McNuggets 10 (Mcdonald's®),1 porção (10 unidades),0,24,414,1732,,,
McNuggets 4 (Mc’ Donalds®),1 porção de 4 unidades,66,11,173,724,,,
McNuggets 4 (Mcdonald's®),1 porção (4 unidades),0,10,166,695,,,
McNuggets 6 (Mc’ Donalds®),1 porção de 6 unidades,,16,259,1084,,,
McNuggets 6 (Mcdonald's®),1 porção (6 unidades),0,15,249,1042,,,
Mega McNuggets (Mcdonald's®),1 porção (15 unidades),0,36,622,2602,,,
Mel,1 colher de sopa rasa,15,12,48,201,,,
Melabie,1 porção,100,25,162,678,,,
Melado,1 colher de sopa rasa,16,12,49,205,,,
Melado,1 colher de sopa,16,12,47,197,,,
Melancia,1 fatia média,200,13,58,243,,,
Melancia,1 fatia média,200,11,48,201,,,
Melão,1 fatia grande,115,9,33,138,,,
Melão,1 fatia grande,115,7,32,134,,,
Melão cantalupo,1 porção,100,8,34,142,,,
Melão gaúcho,1 fatia pequena,100,7,29,121,,,
Merengue com frutas vermelhas,2/3 de xícara de chá,100,41,216,904,,,
Merengue de morango,1 porção média,60,52,214,895,,,
Merluza assada,1 filé médio,100,0,116,485,,,
Michui de filé mignon (Almanara®),1 porção,100,2,89,372,,,
Michui de Filé Mingnon,1 porção,100,2,88,368,,,
Michui de frango,1 porção,100,1,132,552,,,
Michui de Frango,1 porção,100,2,90,377,,,
Michui de frango (Almanara®),1 porção,100,2,91,381,,,
Michui de peixe (Almanara®),1 porção,100,2,99,414,,,
Milho em espiga com 1 c.sobremesa de manteiga,1 unidade,100,32,233,975,,,
Milho verde,1 unidade grande,100,29,138,577,,,
Milho verde cozido debulhado,1 colher de sopa cheia,24,6,33,138,,,
Milho verde em conserva enlatado,1 colher de sopa cheia,24,5,25,105,,,
Milk shake clássico de chocolate (Bob’s®),1 copo grande,700,177,846,3540,,,
Milk shake clássico de morango (Bob’s®),1 copo grande,700,136,734,3071,,,
Milk shake crocante (Bob's®),1 copo grande,700,74,551,2305,,,
Milk shake crocante (Bob's®),1 copo médio,500,52,381,1594,,,
Milk shake crocante (Bob's®),1 copo pequeno,300,31,225,941,,,
Milk shake crocante de ovomaltine (Bob’s®),1 copo grande,700,157,852,3565,,,
Milk shake de baunilha,1 copo médio,470,73,556,2326,,,
Milk shake de baunilha,1 copo de milk shake,290,51,330,1381,,,
Milk shake de chocolate,1 copo médio,470,77,478,2000,,,
Milk shake de chocolate,1 copo de milk shake,290,61,350,1464,,,
Milk shake de chocolate (Bob's®),1 copo grande,700,70,886,3707,,,
Milk shake de chocolate (Bob's®),1 copo médio,500,48,340,1423,,,
Milk shake de chocolate (Bob's®),1 copo pequeno,300,29,204,854,,,
Milk shake de morango (Bob's®),1 copo grande,700,141,800,3347,,,
Milk shake de morango (Bob's®),1 copo médio,500,101,571,2389,,,
Milk shake de morango (Bob's®),1 copo pequeno,300,53,308,1289,,,
Minestrone (sopa),1 porção,300,23,283,1184,,,
Minestrone (sopa),1 prato fundo,300,26,159,665,,,
Mingau (média),1 colher de sopa cheia,37,8,50,209,,,
Mingau de amido de milho (maisena) com açúcar,1 prato raso,195,59,301,1259,,,
Mingau de amido de milho (maisena) sem açúcar,1 prato raso,195,44,268,1121,,,
Mingau de aveia com açúcar,1 xícara de chá,200,30,219,916,,,
Mingau de aveia sem açúcar,1 xícara de chá,200,25,145,607,,,
Mini bolacha sabor chocolate Trakinas®,1 unidade,12,8,58,243,,,
Mini bomba de avelã Cristallo®,1 unidade,15,6,41,172,,,
Mini Bomba de Caramelo,1 unidade,10,3,25,105,,,
Mini Bomba de Chocolate,1 unidade,20,7,60,251,,,
Mini Bomba de Chocolate,1 unidade,10,2,23,96,,,
Mini bomba de chocolate Cristallo®,1 unidade,15,6,43,180,,,
Mini cenouras,1 xícara de chá,100,10,42,176,,,
Mini cenouras,1 xícara de café,125,13,54,226,,,
Mini churro de doce de Leite (Habib’s®),1 unidade,20,9,56,234,,,
Mini churro de doce de leite (Habibs®),1 unidade,20,9,56,234,,,
Mini Eski-bon (Kibon®),1 porção (9 bombons),60,20,219,916,,,
Mini Hambúrguer (com pão),1 unidade,60,15,123,515,,,
Mini hamburguinho,1 unidade,60,15,123,515,,,
Mini hot dog,1 unidade,60,15,165,690,,,
Mini kibe,1 unidade,40,5,4,17,,,
Mini kibe frito de cremely (Habibs®),1 unidade,45,8,100,418,,,
Mini kibe frito de cremilly (Habib’s®),1 unidade,45,8,101,423,,,
Mini Oreo®,1 pacote,35,23,161,674,,,
Mini pizza,1 unidade,25,14,73,305,,,
Mini pizza,1 unidade,60,20,182,761,,,
Mini Torta de Limão,1 unidade,50,12,108,452,,,
Mini Torta de Limão,1 unidade,10,5,32,134,,,
Mini Torta de Maçã,1 unidade,50,18,144,602,,,
Mini Torta de Maçã,1 unidade,10,3,21,88,,,
Mini Torta de Morango,1 unidade,50,18,109,456,,,
Mini Torta de Morango,1 unidade,10,3,21,88,,,
Mini Trakinas® sabor chocolate,1 sachê (8 mini biscoitos),25,16,121,506,,,
Mini Trakinas® sabor morango,1 sachê (8 mini biscoitos),25,17,123,515,,,
Miojo sabor carne suave Nissin®,1 pacote,85,49,374,1565,,,
Miojo sabor galinha Nissin®,1 pacote,85,50,369,1544,,,
Miojo sabor legumes Nissin®,1 pacote,85,51,372,1556,,,
Miolos,1 colher de sopa cheia,25,0,30,126,,,
Missoshiro,1 porção,300,9,70,293,,,
Missoshiro,1 porção (1 chawan),200,6,64,268,,,
Misto quente,1 unidade,85,29,212,"887,008",,,
Misto-quente,1 unidade,85,29,283,1184,,,
"Miúdos de boi (dobradinha, livrelho)",1 colher de sopa cheia,35,0,44,184,,,
Mix de frutas desidratadas Frutolla®,2 colheres de sopa,25,6,34,142,,,
Mix de Soja Natural Jasmine®,1 pacote,40,6,188,787,,,
Mix Sementes e Frutas Jasmine®,1 pacote,40,16,151,632,,,
Mix Sementes e Nuts Jasmine®,1 pacote,40,15,189,791,,,
Mix Sementes Tradicional Jasmine®,1 pacote,40,14,209,874,,,
Mjadra,1 porção,52,52,314,1314,,,
Mjadra Almanara®,1 colher de sopa,25,7,39,163,,,
Moela,1 colher de sopa,25,0,31,130,,,
Moela,1 unidade média,18,0,29,121,,,
Molho à bolonhesa,1 colher de sopa,20,1,22,92,,,
Molho à bolonhesa,1 colher de sopa cheia,22,2,41,172,,,
Molho agridoce (Mc’ Donalds®),1 porção,28,10,45,188,,,
Molho agridoce (Mcdonald's®),1 porção (blister),23,11,46,192,,,
Molho barbecue (Mc’ Donalds®),1 porção,28,10,46,192,,,
Molho barbecue (Mcdonald's®),1 porção (blister),23,10,44,184,,,
Molho barbecue MasterFoods®,2 colheres de sopa,25,5,18,75,,,
Molho branco,1 colher de sopa,20,1,13,54,,,
Molho branco,1 colher de sopa,35,5,70,293,,,
Molho Caesar,1 colher de sopa cheia,25,2,62,259,,,
Molho caipira (Mc’ Donalds®),1 porção,28,6,50,209,,,
Molho caipira (Mcdonald's®),1 porção (blister),23,7,52,218,,,
Molho caseiro azeite/vinagre,1 colher de sopa cheia,20,1,43,180,,,
Molho caseiro azeite/vinagre,1 colher de sopa cheia,13,0,113,473,,,
Molho de alho calve,1 colher de sopa cheia,15,2,55,230,,,
Molho de iogurte,1 colher de sopa,15,2,12,50,,,
Molho de iogurte,1 colher de sopa cheia,35,2,38,159,,,
Molho de mostarda e mel,1 colher de sopa,15,2,14,59,,,
Molho de mostarda light,1 colher de sopa,15,1,10,42,,,
Molho de pimenta,1 colher de chá,5,0,1,4,,,
Molho de pimenta,1 colher de sopa cheia,35,3,12,50,,,
Molho de queijo com ervas light,1 colher de sopa,13,1,8,33,,,
Molho de tomate caseiro,1 colher de sopa,20,1,9,38,,,
Molho de tomate sabor pizza Pomarola®,1 colher de sopa,20,2,8,33,,,
Molho de tomate tradicional 340g Fugini®,1 colher de sopa,20,3,13,54,,,
Molho de tomate tradicional 340g Pomarola®,1 colher de sopa,20,2,8,33,,,
Molho de tomate tradicional 340g Tarantella®,1 colher de sopa,20,2,8,33,,,
Molho de tomate tradicional industrializado,1 colher de sopa,20,2,8,33,,,
Molho inglês,1 colher de sopa,14,1,6,25,,,
Molho inglês,1 colher de sopa cheia,6,1,6,25,,,
Molho madeira,1 colher de sopa,15,1,11,46,,,
Molho madeira Uncle Ben’s®,1 colher de sopa,30,3,13,54,,,
Molho para carnes madeira 340g Predilecta®,3 colheres de sopa,60,5,23,96,,,
Molho para salada tipo caesar Masterfoods®,1 colher de sopa,13,2,25,105,,,
Molho pesto,1 colher de sopa,20,1,80,335,,,
Molho pesto Genovese 190 g Barilla®,3 colheres de sopa,60,2,320,1339,,,
Molho pra salada tipo caesar ( Masterfoods®),1 colher de sopa,13,2,25,105,,,
Molho pronto de pesto Hemmer®,1 colher de sopa,20,2,105,439,,,
Molho Ranch (Mcdonalds®),1 colher de sopa cheia,23,1,111,464,,,
Molho shoyo,1 colher de sopa,6,1,5,21,,,
Molho shoyu,1 colher de sopa,20,6,8,33,,,
Molho tártaro gourmet,1 colher de sopa,20,0,34,142,,,
Molho tártaro gourmet,1 colher de sopa,20,1,105,439,,,
Molho vermelho light,1 colher de sobremesa,14,1,10,42,,,
Mondongo (dobradinha),1 colher de servir cheia,70,0,87,364,,,
Mondongo (dobradinha),1 concha pequena,100,8,111,464,,,
Moqueca de ovos,1 porção,85,3,116,485,,,
Moqueca de peixe,1 colher de servir cheia,60,2,79,331,,,
Moqueca de peixe,1 porção,185,4,218,912,,,
Morango,1 unidade,12,1,4,17,,,
Morango,1 unidade média,12,1,5,21,,,
Mortadela,1 fatia,20,3,53,222,,,
Mortadela,1 fatia média,15,0,41,172,,,
Mortadela light,1 fatia,20,0,46,192,,,
Mostarda,1 colher de sopa,12,0,7,29,,,
Mostarda folha cozida,1 colher de sopa cheia,25,0,6,25,,,
Mostarda folha cozida,1 colher de sopa cheia,45,2,12,50,,,
Mousse de chocolate,1 colher de sopa,30,5,71,297,,,
Mousse de chocolate,1 colher de sopa cheia,25,8,79,331,,,
Mousse de maracujá,1 colher de sopa,30,9,65,272,,,
Mousse de maracujá,1 colher de sopa cheia,35,11,100,418,,,
Mousse de Peixe,1 colher de servir rasa,50,2,86,360,,,
Mucilon de arroz,1 colher de sopa cheia,7,6,28,117,,,
Mucilon de arroz,1 colher de sopa cheia,9,8,34,142,,,
Mucilon de milho,1 colher de sopa cheia,7,6,26,109,,,
Mucilon de milho,1 colher de sopa cheia,9,8,34,142,,,
Muffin de banana Suavipan®,1 unidade,40,21,147,615,,,
Muffin de banana Suavipan®,1 unidade,40,20,141,590,,,
Muffin de chocolate Suavipan®,1 unidade,40,21,142,594,,,
Muffin de laranja Suavipan®,1 unidade,40,20,147,615,,,
Mungunzá,1 concha,150,29,150,628,,,
Munguzá,1 concha,100,39,185,774,,,
Murici,1 unidade,50,5,21,88,,,
Nabo cozido (picado),1 colher de sopa,15,0,4,17,,,
Nabo cozido (picado),1 colher de sopa cheia,18,1,5,21,,,
Nachos,1 porção,25,14,120,502,,,
Namorado cozido,1 filé médio,100,0,121,506,,,
Néctar de manga Dell Valle®,1 caixinha,200,30,118,494,,,
Nectarina,1 unidade média,100,14,60,251,,,
Nectarina,1 unidade média,100,12,49,205,,,
Negroni,1 dose,70,0,182,761,,,
Nescau®,1 colher de sopa,10,8,36,151,,,
Nescau®,1 colher de sopa cheia,16,14,61,255,,,
Nescau® 33% menos açúcares,1 colher de sopa,10,8,35,146,,,
Nescau® Ball,1 sachê,75,40,356,1490,,,
Nescau® Canela,1 colher de sopa,10,8,36,151,,,
Nescau® Cereal,1 porção (3/4 de xícara),30,23,113,473,,,
Nescau® Cereal 60% menos açúcares,1 porção (3/4 de xícara),30,19,96,402,,,
Nescau® Cereal Duo,1 porção (3/4 de xícara),30,23,113,473,,,
Nescau® Chocolate Branco,1 colher de sopa,10,8,38,159,,,
Nescau® Cookie,1 porção,20,13,98,410,,,
Nescau® Duo Cookie,1 porção,20,13,97,406,,,
Nescau® Light,1 colher de sopa,10,7,33,138,,,
Nescau® Max 0% açúcar,1 colher de sopa,10,6,33,138,,,
Nescau® Nescafé Dolce Gusto,1 cápsula,17,9,73,305,,,
Nescau® Prontinho,1 unidade,200,20,130,544,,,
Nescau® Prontinho Light,1 unidade,200,15,97,406,,,
Nescau® Prontinho Zero Lactose,1 unidade,200,20,130,544,,,
Nescau® Shake,1 unidade,270,25,169,707,,,
Nescau® Shake Max Cereal 0% açúcar,1 unidade,260,29,201,841,,,
Nescau® Shake Max Protein,1 unidade,270,15,156,653,,,
Nescau® Shake Orgânico,1 unidade,200,16,131,548,,,
Nêspera,1 unidade grande,40,4,20,84,,,
Nêspera,1 unidade média,90,10,37,155,,,
Nesquick em pó Nestlé®,1 colher de sopa cheia,16,15,63,264,,,
"Nesquick® preparado, caixinha de",1 unidade,200,29,170,711,,,
Nesquik bebida láctea sabor morango (Nestlé®),1 unidade,200,19,120,502,,,
Nesquik em pó sabor morango (Nestlé®),1 colher de sopa,10,6,28,117,,,
Neston 3 Cereais (Nestlé®),1 colher de sopa,7,5,26,109,,,
"Neston bebida láctea sabor maçã, banana e mamão (Nestlé®)",1 unidade,280,35,216,904,,,
Neston®,1 colher de sopa cheia,8,6,29,121,,,
Nhoque,1 colher de sopa,30,7,36,151,,,
Nhoque,1 escumadeira cheia,100,37,184,770,,,
Nhoque,1 escumadeira cheia,100,21,120,502,,,
Niguiri de atum,1 unidade,30,10,60,251,,,
Niguiri de camarão,1 unidade,30,10,65,272,,,
Niguiri sushi de atum,1 unidade,30,10,59,247,,,
Niguiri sushi de kani,1 unidade,30,10,51,213,,,
Niguiri sushi de salmão,1 unidade,30,10,57,238,,,
Ninho soleil sabor morango (Nestlé®),1 unidade,170,31,170,711,,,
Ninho® soleil morango (bebida láctea),1 unidade,200,31,170,711,,,
Noz,1 unidade,5,1,35,146,,,
Nozes,1 unidade média,5,1,35,146,,,
Nuggets de frango tradicional Sadia®,1 unidade,22,3,40,167,,,
Nuggets de frango tradicional Sadia®,1 unidade,25,3,53,222,,,
Nuggets de legumes Sadia®,1 unidade,21,4,36,151,,,
Nuggets de legumes Sadia®,1 unidade,21,5,36,151,,,
Nuggets de peixe Sadia®,1 unidade,23,4,41,172,,,
Nutella,1 colher de sopa,20,12,107,448,,,
Nutella®,1 colher de sopa,20,11,106,444,,,
Óleos vegetais,1 colher de sopa cheia,8,0,72,301,,,
Olho de Sogra,1 unidade,10,5,34,142,,,
Omelete,1 ovo,65,2,110,460,,,
Onion rings (Burger King)®,1 porção,0,52,460,1925,,,
Onion rings (Burguer King®),1 porção,,5,319,1335,,,
Ora pro nobis,1 porção,100,5,26,109,,,
Original (Burger King) ®,1 unidade,0,32,714,2987,,,
Original Cheddar (Burger King) ®,1 unidade,0,33,541,2264,,,
Ovo de codorna,1 unidade,10,0,16,67,,,
Ovo de galinha inteiro (cozido),1 unidade média,45,0,71,297,,,
"Ovo de galinha, clara cozida",1 unidade média,30,0,15,63,,,
"Ovo de galinha, gema cozida",1 unidade média,15,0,53,222,,,
Ovo de Páscoa (média),1 pedaço médio,25,15,134,561,,,
Ovo de Páscoa Amandita ®,1 porção,25,15,135,565,,,
Ovo de Páscoa Amandita®,1 porção,25,15,135,565,,,
Ovo de Páscoa Bis ®,1 porção,25,15,130,544,,,
Ovo de Páscoa Bis®,1 porção,25,15,130,544,,,
Ovo de páscoa Diamante Negro ®,1 porção,25,16,128,536,,,
Ovo de páscoa Diamante Negro®,1 porção,25,16,128,536,,,
Ovo de Páscoa Ferrero Rocher ®,1 porção,25,9,151,632,,,
Ovo de Páscoa Ferrero Rocher®,1 porção,25,9,151,632,,,
Ovo de Páscoa Kinder Ovo Maxi ®,1 porção,25,13,143,598,,,
Ovo de Páscoa Kinder Ovo Maxi®,1 porção,25,13,143,598,,,
Ovo de Páscoa Lacta ®,1 porção,25,15,131,548,,,
Ovo de Páscoa Lacta Diet ®,1 porção,25,15,111,464,,,
Ovo de Páscoa Lacta Diet®,1 porção,25,15,111,464,,,
Ovo de Páscoa Lacta®,1 porção,25,15,131,548,,,
Ovo de Páscoa Lacta® Diet,1 porção,25,15,111,464,,,
Ovo de Páscoa Shot ®,1 porção,25,14,134,561,,,
Ovo de Páscoa Shot®,1 porção,25,14,134,561,,,
Ovo de Páscoa Sonho de Valsa ®,1 porção,25,15,134,561,,,
Ovo de Páscoa Sonho de Valsa®,1 porção,25,15,134,561,,,
Ovomaltine ®,1 colher de sopa cheia,14,12,53,222,,,
Ovomaltine®,1 colher de sopa cheia,14,12,53,222,,,
Paçoca,1 unidade,32,17,156,653,,,
Paçoca,1 unidade,30,20,115,481,,,
Paçoca diet Airon,1 unidade,20,7,79,331,,,
Paçoca diet Airon®,1 unidade,20,7,79,331,,,
Paçoquita ®,1 unidade,20,10,103,431,,,
Paçoquita zero ®,1 unidade,18,8,100,418,,,
Pacu inteiro cru,1 pedaço médio,100,0,292,1222,,,
Paio,1 unidade,160,5,363,1519,,,
Palmito em conserva,1 colher de sopa cheia,15,1,3,13,,,
Pamonha,1 unidade,160,69,413,1728,,,
Pamonha doce,1 unidade pequena,130,47,335,1402,,,
Panettone frutas,1 fatia pequena,25,14,88,368,,,
Panettone Frutas Zero (Wickbold) ®,1 fatia,80,38,250,1046,,,
Panqueca carne,1 unidade média,80,18,229,958,,,
Panqueca de batata (Kartoffelpuffer),1 unidade média,30,22,97,406,,,
Panqueca de batata (Kartoffelpuffer®),1 unidade média,30,22,97,406,,,
Panqueca de batata (Kartoftelpufter®),1 unidade média,30,22,97,406,,,
Pão 3 queijos ( Subway) ®,1 porção,83,36,244,1021,,,
Pão 9 grãos ( Subway) ®,1 porção,78,41,216,904,,,
Pão 9 grãos com aveia e mel ( Subway) ®,1 porção,88,"38,2",216,904,,,
Pão alemão integral (Wickbold®),1/2 unidade,50,17,99,414,,,
Pão careca doce,1 unidade,50,28,134,561,,,
Pão colonial italiano,1 fatia grande,50,27,128,536,,,
Pão com tucumã,1 unidade,85,28,241,1008,,,
Pão de batata-inglesa,1 unidade média,50,29,137,573,,,
Pão de cachorro-quente,1 unidade,58,31,170,711,,,
Pão de centeio integral,1 unidade média,50,23,116,485,,,
Pão de forma 100% integral ( Wickbold) ®,1 fatia,25,8,68,285,,,
Pão de forma 100% Integral Girassol e Castanha ( Wickbold) ®,1 fatia,25,9,61,255,,,
Pão de Forma 12 Grãos 100% Integral ( Pullman) ®,1 fatia,25,9,60,251,,,
Pão de forma branco,1 fatia,25,12,62,259,,,
Pão de forma branco,1 unidade,25,12,62,259,,,
Pão de forma de aveia,1 fatia,25,15,85,356,,,
Pão de forma de aveia,1 unidade,25,11,59,247,,,
Pão de forma de centeio,1 fatia,27,13,75,314,,,
Pão de forma de centeio,1 unidade,27,13,75,314,,,
Pão de Forma Grãos e Castanhas ( Pullman ) ®,1 fatia,33,13,82,343,,,
Pão de forma integral,1 fatia,25,11,58,243,,,
Pão de forma integral ( Bauducco) ®,1 fatia,25,22,126,527,,,
